name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,price
"Private Master+Bath, Gym+Amenities; UCLA/Rotations",2013-03-20,within a day,67%,50%,f,Westwood,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,Condominium,Private room,1,1,1,1,Real Bed,49,99,f,strict_14_with_grace_period,0.59,$70.00
Stylish 1BD Westwood Apartment,2011-11-09,N/A,N/A,86%,f,Westwood,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,29,97,f,strict_14_with_grace_period,0.37,$115.00
Private Master bedroom by UCLA and century city-,2013-08-06,within a few hours,100%,100%,f,,1,"['email', 'phone', 'google', 'reviews', 'kba', 'work_email']",t,t,Condominium,Private room,2,1,1,1,Real Bed,11,93,t,moderate,0.71,$75.00
Small 1 Bedroom Loft Near UCLA on Westwood Blvd,2012-08-27,within an hour,99%,77%,f,Westside,40,"['email', 'phone', 'reviews', 'offline_government_id', 'sent_id', 'kba', 'selfie', 'government_id']",t,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,32,79,f,strict_14_with_grace_period,0.52,$72.00
Vintage cozy room in West LA,2014-01-07,within an hour,100%,100%,f,Westwood,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,Apartment,Private room,1,1,1,1,Real Bed,295,93,t,strict_14_with_grace_period,3.9,$75.00
Spacious and Private 2Bed/2 Bathroom in Westwood,2014-01-08,within a few hours,100%,57%,f,Westwood,1,"['email', 'phone', 'reviews', 'kba']",t,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,74,98,f,strict_14_with_grace_period,0.97,$125.00
Renovated Vintage 2Bed/2Bath Condo w/ Patio,2012-01-25,N/A,N/A,50%,f,Westwood,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,Condominium,Entire home/apt,5,2,2,2,Real Bed,16,75,f,strict_14_with_grace_period,0.22,$200.00
"Cozy in Westwood, Los Angeles",2012-06-14,N/A,N/A,N/A,f,Westwood,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,3,100,f,strict_14_with_grace_period,0.05,$80.00
Classic West LA Master Bed/Bathroom,2014-06-08,within an hour,100%,100%,f,Westwood,2,"['email', 'phone', 'reviews', 'kba']",t,t,House,Private room,1,1,1,1,Real Bed,49,97,f,moderate,0.69,$80.00
New corporate 2+2 condo in Beverly Hills /Westwood,2014-06-11,within an hour,90%,70%,f,Westwood,21,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,Condominium,Entire home/apt,6,2,2,4,Real Bed,41,98,f,flexible,0.66,$250.00
Westwood/UCLA - No Car Needed!,2014-06-11,within an hour,90%,70%,f,Westwood,21,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,Condominium,Entire home/apt,6,2,2,4,Real Bed,68,98,f,flexible,1.1,$250.00
